iso_code,year,date,total_cases,total_deaths,vaccinated_rate,fully_vaccinated_rate,booster_rate,population,country,cases_per_million,deaths_per_million
AFG,2020,2020-12-31,51848.0,2158.0,,,,39068979.0,Afghanistan,1327.0886858855463,55.235638484435434
AFG,2021,2021-12-31,157902.0,7352.0,10.07,9.13,,40000412.0,Afghanistan,3947.509340653791,183.79810687949913
AFG,2022,2022-12-31,207322.0,7845.0,27.86,26.15,,40578842.0,Afghanistan,5109.115730803753,193.32735024819092
ALA,2020,,,,,,,,Åland Islands,,
ALA,2021,,,,,,,,Åland Islands,,
ALA,2022,,,,,,,,Åland Islands,,
ALB,2020,2020-12-31,55380.0,1134.0,,,,2528480.0,Albania,21902.486869581724,448.49079288742644
ALB,2021,2021-12-31,207221.0,3187.0,40.16,36.28,5.07,2489762.0,Albania,83229.24038522557,1280.0420281135305
ALB,2022,2022-12-31,332670.0,3596.0,47.22,44.68,13.27,2451636.0,Albania,135693.06373376798,1466.7756551135649
DZA,2020,2020-12-31,97857.0,2722.0,,,,44042091.0,Algeria,2221.8972300838304,61.804513323402375
DZA,2021,2021-12-31,216376.0,6229.0,15.72,12.49,0.06,44761099.0,Algeria,4834.018932376973,139.16101568462383
DZA,2022,2022-12-31,271194.0,6881.0,17.46,14.43,1.28,45477389.0,Algeria,5963.271110397301,151.30595997936467
ASM,2020,2020-12-31,0.0,0.0,,,,49761.0,American Samoa,0.0,0.0
ASM,2021,2021-12-31,11.0,0.0,,,,49225.0,American Samoa,223.46368715083798,0.0
ASM,2022,2022-12-31,8266.0,34.0,,,,48342.0,American Samoa,170990.02937404328,703.3221629225105
AND,2020,2020-12-31,7806.0,83.0,,,,77380.0,Andorra,100878.78004652365,1072.628586197984
AND,2021,2021-12-31,21730.0,139.0,71.5,64.37,10.98,78364.0,Andorra,277295.6970037262,1773.7736715838905
AND,2022,2022-12-31,47686.0,158.0,72.52,66.99,53.88,79705.0,Andorra,598281.1617840788,1982.3097672667964
AGO,2020,2020-12-31,17149.0,400.0,,,,33451132.0,Angola,512.6582861231722,11.957741818722308
AGO,2021,2021-12-31,71142.0,1746.0,21.59,11.04,,34532429.0,Angola,2060.150474789943,50.56116961827389
AGO,2022,2022-12-31,105070.0,1929.0,42.12,23.19,4.09,35635029.0,Angola,2948.5032831038247,54.132129371916605
AIA,2020,2020-12-31,12.0,0.0,,,,,Anguilla,,
AIA,2021,2021-12-31,1646.0,5.0,63.48,58.09,6.19,,Anguilla,,
AIA,2022,2022-12-31,3904.0,12.0,68.35,65.33,18.88,,Anguilla,,
ATA,2020,,,,,,,,Antarctica,,
ATA,2021,,,,,,,,Antarctica,,
ATA,2022,,,,,,,,Antarctica,,
ATG,2020,2020-12-31,155.0,5.0,,,,91846.0,Antigua and Barbuda,1687.607516930514,54.43895215904884
ATG,2021,2021-12-31,4229.0,118.0,66.42,62.77,,92349.0,Antigua and Barbuda,45793.67399755276,1277.7615350464
ATG,2022,2022-12-31,9106.0,146.0,68.56,66.53,10.49,92840.0,Antigua and Barbuda,98082.72296423954,1572.5980180956483
ARG,2020,2020-12-31,1629908.0,47507.0,0.1,0.0,0.0,45191965.0,Argentina,36066.32285186095,1051.2266948339159
ARG,2021,2021-12-31,5559916.0,117830.0,85.31,67.63,13.59,45312281.0,Argentina,122702.18751512421,2600.3987748928375
ARG,2022,2022-12-31,9891139.0,130124.0,91.03,76.48,74.46,45407904.0,Argentina,217828.57451425196,2865.668496832622
ARM,2020,2020-12-31,157834.0,2768.0,,,,2961500.0,Armenia,53295.289549214926,934.6614891102482
ARM,2021,2021-12-31,344481.0,7943.0,33.59,24.89,0.02,2962300.0,Armenia,116288.3570198832,2681.3624548492726
ARM,2022,2022-12-31,445583.0,8708.0,40.23,35.45,1.46,2969200.0,Armenia,150068.36858413043,2932.776505456015
ABW,2020,2020-12-31,5228.0,47.0,,,,108587.0,Aruba,48145.72646817759,432.83265952646263
ABW,2021,2021-12-31,17165.0,181.0,79.61,74.21,,107700.0,Aruba,159377.9015784587,1680.594243268338
ABW,2022,2022-12-31,43752.0,280.0,84.68,78.89,,107310.0,Aruba,407715.9630975678,2609.262883235486
AUS,2020,2020-12-31,28296.0,920.0,,,,25649248.0,Australia,1103.1902377800707,35.868497977016716
AUS,2021,2021-12-31,366607.0,2377.0,78.1,75.47,9.09,25685412.0,Australia,14272.965526112643,92.54280211662557
AUS,2022,2022-12-31,10694041.0,17816.0,84.93,82.7,75.22,26018721.0,Australia,411013.3238294073,684.7377317278585
AUT,2020,2020-12-31,344732.0,7049.0,,,,8916864.0,Austria,38660.677116977444,790.524561101302
AUT,2021,2021-12-31,1252088.0,16587.0,75.03,70.64,44.66,8955797.0,Austria,139807.5458834094,1852.096468912817
AUT,2022,2022-12-31,5678345.0,21571.0,77.16,74.73,60.39,9041851.0,Austria,628006.9202644458,2385.6840817217626
AZE,2020,2020-12-31,211764.0,2416.0,,,,10093121.0,Azerbaijan,20981.02261926712,239.37095374166225
AZE,2021,2021-12-31,614119.0,8284.0,49.91,45.15,14.48,10137750.0,Azerbaijan,60577.44568567976,817.1438435550294
AZE,2022,2022-12-31,825893.0,10006.0,51.88,46.94,32.46,10141756.0,Azerbaijan,81434.91127177581,986.6141524209418
BHS,2020,2020-12-31,7788.0,169.0,,,,395863.0,Bahamas,19673.47289339999,426.9153722373649
BHS,2021,2021-12-31,23630.0,713.0,38.3,35.94,1.7,396373.0,Bahamas,59615.564127728176,1798.810716168861
BHS,2022,2022-12-31,37491.0,833.0,42.48,40.4,8.94,397538.0,Bahamas,94307.96552782375,2095.3971695787573
BHR,2020,2020-12-31,91518.0,351.0,3.98,,,1472204.0,Bahrain,62163.93923668187,238.41804532524026
BHR,2021,2021-12-31,279518.0,1394.0,81.72,80.01,57.4,1504365.0,Bahrain,185804.64182562078,926.6368201865904
BHR,2022,2022-12-31,696614.0,1536.0,84.31,83.33,68.51,1524693.0,Bahrain,456888.04237967904,1007.4159191391316
BGD,2020,2020-12-31,509148.0,7452.0,,,,166298024.0,Bangladesh,3061.6599509324296,44.811115735205604
BGD,2021,2021-12-31,1583253.0,28060.0,38.46,23.8,,167658854.0,Bangladesh,9443.300859016965,167.36366335893004
BGD,2022,2022-12-31,2037024.0,29439.0,87.12,73.41,35.41,169384897.0,Bangladesh,12026.007253763599,173.79943856505693
BRB,2020,2020-12-31,347.0,7.0,,,,281698.0,Barbados,1231.8156323438577,24.849306704342947
BRB,2021,2021-12-31,27629.0,260.0,55.37,51.01,,282147.0,Barbados,97924.13174692626,921.5054563755773
BRB,2022,2022-12-31,105515.0,568.0,58.17,55.03,22.07,282318.0,Barbados,373745.2093029846,2011.9156412272687
BLR,2020,2020-12-31,184922.0,1376.0,0.0,,,9379952.0,Belarus,19714.599818847688,146.69584663119812
BLR,2021,2021-12-31,692601.0,5484.0,45.68,33.86,1.2,9302585.0,Belarus,74452.53120503602,589.5135599405972
BLR,2022,2022-12-31,994037.0,7118.0,67.52,66.42,48.38,9228071.0,Belarus,107718.82877797539,771.3421364009878
BEL,2020,2020-12-31,638760.0,19374.0,0.01,0.0,,11538604.0,Belgium,55358.51650684953,1679.0592692148894
BEL,2021,2021-12-31,2048110.0,28192.0,76.7,75.75,37.65,11586195.0,Belgium,176771.58031605717,2433.240593654776
BEL,2022,2022-12-31,4679472.0,33240.0,79.44,78.61,99.54,11680210.0,Belgium,400632.52287416067,2845.8392443286552
BLZ,2020,2020-12-31,10490.0,228.0,,,,390812.0,Belize,26841.550412986297,583.4007144099976
BLZ,2021,2021-12-31,31503.0,592.0,56.78,49.13,,395346.0,Belize,79684.6306779378,1497.4225109144902
BLZ,2022,2022-12-31,69675.0,688.0,62.13,54.59,12.59,402733.0,Belize,173005.44032895242,1708.3278499651135
BEN,2020,2020-12-31,3205.0,44.0,,,,13070169.0,Benin,245.21488589780287,3.3664446113894932
BEN,2021,2021-12-31,24935.0,161.0,12.73,9.88,,13413417.0,Benin,1858.959577563271,12.002907238327117
BEN,2022,2022-12-31,27985.0,163.0,27.69,20.54,,13759501.0,Benin,2033.8673619050576,11.84635983528763
BMU,2020,2020-12-31,561.0,9.0,,,,64382.0,Bermuda,8713.615606846635,139.79062470876954
BMU,2021,2021-12-31,6064.0,106.0,71.95,70.42,31.57,64648.0,Bermuda,93800.27224353421,1639.6485583467393
BMU,2022,2022-12-31,18557.0,152.0,75.62,74.22,55.81,64749.0,Bermuda,286599.02083429863,2347.526602727455
BTN,2020,2020-12-31,597.0,0.0,,,,770006.0,Bhutan,775.3186338807749,0.0
BTN,2021,2021-12-31,2660.0,3.0,75.37,72.22,,775442.0,Bhutan,3430.3016860061744,3.8687613000069634
BTN,2022,2022-12-31,62531.0,21.0,89.35,86.61,81.11,780914.0,Bhutan,80074.11827678847,26.891565524500777
BOL,2020,2020-12-31,153590.0,9083.0,,,,11816299.0,"Bolivia, Plurinational State of",12998.147727981494,768.6840016489089
BOL,2021,2021-12-31,575247.0,19530.0,46.1,37.58,4.48,11937360.0,"Bolivia, Plurinational State of",48188.79551257565,1636.040129475864
BOL,2022,2022-12-31,1146741.0,22280.0,60.22,50.4,17.73,12077154.0,"Bolivia, Plurinational State of",94951.26086824761,1844.805489770189
BES,2020,2020-12-31,182.0,3.0,,,,,"Bonaire, Sint Eustatius and Saba",,
BES,2021,2021-12-31,3239.0,22.0,70.64,61.87,,,"Bonaire, Sint Eustatius and Saba",,
BES,2022,2022-12-31,11716.0,39.0,,,,,"Bonaire, Sint Eustatius and Saba",,
BIH,2020,2020-12-31,109330.0,3923.0,,,,3299349.0,Bosnia and Herzegovina,33136.84002510799,1189.0224404875023
BIH,2021,2021-12-31,287716.0,13283.0,27.3,22.29,0.7,3244907.0,Bosnia and Herzegovina,88666.94792793752,4093.491739516726
BIH,2022,2022-12-31,400960.0,16222.0,29.18,26.17,3.73,3204802.0,Bosnia and Herzegovina,125112.25342470456,5061.779167636565
BWA,2020,2020-12-31,13890.0,39.0,,,,2365894.0,Botswana,5870.930819385822,16.48425500043535
BWA,2021,2021-12-31,212482.0,2439.0,44.45,39.31,,2401441.0,Botswana,88481.04117486127,1015.6401927009658
BWA,2022,2022-12-31,328031.0,2786.0,64.14,54.22,18.99,2439892.0,Botswana,134444.8852654134,1141.8538197592352
BVT,2020,,,,,,,,Bouvet Island,,
BVT,2021,,,,,,,,Bouvet Island,,
BVT,2022,,,,,,,,Bouvet Island,,
BRA,2020,2020-12-31,7448560.0,190488.0,,,,208660842.0,Brazil,35696.9708767877,912.9072717918008
BRA,2021,2021-12-31,22230737.0,618392.0,77.19,66.62,12.34,209550294.0,Brazil,106087.83493283956,2951.043342368205
BRA,2022,2022-12-31,36124337.0,692743.0,87.57,81.22,56.95,210306415.0,Brazil,171770.01947372835,3293.969896258276
IOT,2020,,,,,,,,British Indian Ocean Territory,,
IOT,2021,,,,,,,,British Indian Ocean Territory,,
IOT,2022,,,,,,,,British Indian Ocean Territory,,
BRN,2020,2020-12-31,152.0,3.0,,,,447404.0,Brunei Darussalam,339.7376867439719,6.705349080473129
BRN,2021,2021-12-31,15447.0,61.0,90.4,89.24,,451721.0,Brunei Darussalam,34195.886398905524,135.03910599684318
BRN,2022,2022-12-31,268615.0,148.0,100.31,99.32,75.5,455370.0,Brunei Darussalam,589882.9523244834,325.01043107802445
BGR,2020,2020-12-31,197384.0,7123.0,0.07,,,6550696.0,Bulgaria,30131.76004503949,1087.3653730840203
BGR,2021,2021-12-31,733882.0,30528.0,28.08,28.24,4.06,6507301.0,Bulgaria,112778.24707970324,4691.3459205283425
BGR,2022,2022-12-31,1280617.0,38036.0,31.03,30.59,11.33,6465097.0,Bulgaria,198081.6374448829,5883.283731087097
BFA,2020,2020-12-31,6344.0,78.0,,,,21478690.0,Burkina Faso,295.36251978123437,3.631506390752881
BFA,2021,2021-12-31,17040.0,317.0,4.29,2.86,,21995243.0,Burkina Faso,774.7129686178052,14.412207221352363
BFA,2022,2022-12-31,22006.0,395.0,19.26,14.71,,22509038.0,Burkina Faso,977.6517326062536,17.548506515471693
BDI,2020,2020-12-31,809.0,2.0,,,,12617036.0,Burundi,64.11965536121161,0.1585158352563946
BDI,2021,2021-12-31,26999.0,14.0,0.03,0.03,,12965481.0,Burundi,2082.375501533649,1.079790252286051
BDI,2022,2022-12-31,52051.0,15.0,0.22,0.22,0.0,13321097.0,Burundi,3907.4109286945363,1.1260333889919125
KHM,2020,2020-12-31,364.0,0.0,,,,16725474.0,Cambodia,21.76320981994292,0.0
KHM,2021,2021-12-31,120449.0,3008.0,85.06,81.46,21.4,16974305.0,Cambodia,7095.960629905024,177.2090226963637
KHM,2022,2022-12-31,138495.0,3056.0,90.9,87.11,62.17,17201724.0,Cambodia,8051.227888553496,177.6566116279973
